,Zone1,Zone2,Zone3,Zone4,
Wed Jan 17 12:00:00 CST 2018,12335,12426,12725,12646,
Wed Jan 17 13:00:00 CST 2018,7834,7853,8027,7840,
Wed Jan 17 14:00:00 CST 2018,3751,3716,3779,3746,
Wed Jan 17 15:00:00 CST 2018,1773,1843,1844,1923,
Wed Jan 17 16:00:00 CST 2018,6512,6381,6521,6409,
Wed Jan 17 17:00:00 CST 2018,17134,17535,17931,17379,
Wed Jan 17 18:00:00 CST 2018,14974,14780,15184,15128,
Wed Jan 17 19:00:00 CST 2018,16736,16827,17361,16703,
Wed Jan 17 20:00:00 CST 2018,19158,19559,19752,19411,
Wed Jan 17 21:00:00 CST 2018,16701,16563,17038,16556,
Wed Jan 17 22:00:00 CST 2018,10295,10381,10747,10508,
Wed Jan 17 23:00:00 CST 2018,4790,4732,5027,4855,
Thu Jan 18 00:00:00 CST 2018,1638,1706,1697,1619,
Thu Jan 18 01:00:00 CST 2018,435,441,423,464,
Thu Jan 18 02:00:00 CST 2018,62,74,64,74,
Thu Jan 18 03:00:00 CST 2018,13,8,9,15,
Thu Jan 18 04:00:00 CST 2018,7,13,13,7,
Thu Jan 18 05:00:00 CST 2018,38,69,59,62,
Thu Jan 18 06:00:00 CST 2018,316,301,284,311,
Thu Jan 18 07:00:00 CST 2018,1252,1215,1214,1256,
Thu Jan 18 08:00:00 CST 2018,3660,3632,3632,3728,
Thu Jan 18 09:00:00 CST 2018,8001,7841,7998,7943,
Thu Jan 18 10:00:00 CST 2018,12566,12388,12532,12667,
Thu Jan 18 11:00:00 CST 2018,14645,14592,14707,14622,
Thu Jan 18 12:00:00 CST 2018,12530,12401,12587,12567,
Thu Jan 18 13:00:00 CST 2018,7988,7695,8029,7890,
Thu Jan 18 14:00:00 CST 2018,3577,3648,3720,3767,
Thu Jan 18 15:00:00 CST 2018,1863,1770,1892,1883,
Thu Jan 18 16:00:00 CST 2018,6338,6317,6436,6480,
Thu Jan 18 17:00:00 CST 2018,17442,17146,17457,17710,
Thu Jan 18 18:00:00 CST 2018,15139,14907,15038,15356,
Thu Jan 18 19:00:00 CST 2018,16969,16862,16961,17034,
Thu Jan 18 20:00:00 CST 2018,19344,19362,19694,19700,
Thu Jan 18 21:00:00 CST 2018,16966,16877,17048,16947,
Thu Jan 18 22:00:00 CST 2018,10511,10191,10623,10692,
Thu Jan 18 23:00:00 CST 2018,4929,4750,4910,4932,
Fri Jan 19 00:00:00 CST 2018,1688,1681,1610,1553,
Fri Jan 19 01:00:00 CST 2018,384,442,397,399,
Fri Jan 19 02:00:00 CST 2018,82,80,58,74,
Fri Jan 19 03:00:00 CST 2018,13,16,10,13,
Fri Jan 19 04:00:00 CST 2018,5,8,11,7,
Fri Jan 19 05:00:00 CST 2018,72,56,48,51,
Fri Jan 19 06:00:00 CST 2018,330,327,305,306,
Fri Jan 19 07:00:00 CST 2018,1258,1214,1251,1193,
Fri Jan 19 08:00:00 CST 2018,3773,3711,3573,3613,
Fri Jan 19 09:00:00 CST 2018,7908,7946,7748,7771,
Fri Jan 19 10:00:00 CST 2018,12730,12585,12524,12451,
Fri Jan 19 11:00:00 CST 2018,14919,14732,14387,14688,
Fri Jan 19 12:00:00 CST 2018,12674,12608,12429,12466,
Fri Jan 19 13:00:00 CST 2018,8074,7783,7854,7933,
Fri Jan 19 14:00:00 CST 2018,3689,3762,3664,3701,
Fri Jan 19 15:00:00 CST 2018,1823,1919,1778,1859,
Fri Jan 19 16:00:00 CST 2018,6433,6569,6484,6415,
Fri Jan 19 17:00:00 CST 2018,17519,17424,17585,17485,
Fri Jan 19 18:00:00 CST 2018,15149,15299,15172,15023,
Fri Jan 19 19:00:00 CST 2018,16892,17008,16599,16698,
Fri Jan 19 20:00:00 CST 2018,19756,19547,19324,19244,
Fri Jan 19 21:00:00 CST 2018,16819,16721,16718,16557,
Fri Jan 19 22:00:00 CST 2018,10707,10331,10614,10633,
Fri Jan 19 23:00:00 CST 2018,4940,4756,4744,4899,
Sat Jan 20 00:00:00 CST 2018,1577,1662,1658,1669,
Sat Jan 20 01:00:00 CST 2018,464,419,421,420,
Sat Jan 20 02:00:00 CST 2018,66,81,83,68,
Sat Jan 20 03:00:00 CST 2018,10,13,5,7,
Sat Jan 20 04:00:00 CST 2018,6,4,8,11,
Sat Jan 20 05:00:00 CST 2018,63,55,59,57,
Sat Jan 20 06:00:00 CST 2018,318,309,311,278,
Sat Jan 20 07:00:00 CST 2018,1211,1211,1232,1206,
Sat Jan 20 08:00:00 CST 2018,3669,3789,3727,3625,
Sat Jan 20 09:00:00 CST 2018,7728,8027,8150,7770,
Sat Jan 20 10:00:00 CST 2018,12496,12789,13022,12434,
Sat Jan 20 11:00:00 CST 2018,14585,14963,14726,14706,
Sat Jan 20 12:00:00 CST 2018,12431,12674,12926,12504,
Sat Jan 20 13:00:00 CST 2018,7788,8151,7946,7958,
Sat Jan 20 14:00:00 CST 2018,3667,3729,3828,3805,
Sat Jan 20 15:00:00 CST 2018,1962,1898,1926,1878,
Sat Jan 20 16:00:00 CST 2018,6404,6562,6573,6389,
Sat Jan 20 17:00:00 CST 2018,17084,17792,17846,17368,
Sat Jan 20 18:00:00 CST 2018,14852,15300,15324,15118,
Sat Jan 20 19:00:00 CST 2018,16603,17151,17607,16961,
Sat Jan 20 20:00:00 CST 2018,19237,19941,20124,19279,
Sat Jan 20 21:00:00 CST 2018,16308,17199,17209,16535,
Sat Jan 20 22:00:00 CST 2018,10407,10778,10885,10446,
Sat Jan 20 23:00:00 CST 2018,4775,4970,4958,4941,
Sun Jan 21 00:00:00 CST 2018,1664,1663,1687,1616,
Sun Jan 21 01:00:00 CST 2018,438,409,377,415,
Sun Jan 21 02:00:00 CST 2018,86,92,67,66,
Sun Jan 21 03:00:00 CST 2018,5,14,13,15,
Sun Jan 21 04:00:00 CST 2018,6,7,9,11,
Sun Jan 21 05:00:00 CST 2018,75,56,65,63,
Sun Jan 21 06:00:00 CST 2018,285,325,300,299,
Sun Jan 21 07:00:00 CST 2018,1275,1265,1247,1264,
Sun Jan 21 08:00:00 CST 2018,3756,3677,3718,3622,
Sun Jan 21 09:00:00 CST 2018,7889,8154,7777,7732,
Sun Jan 21 10:00:00 CST 2018,12447,12853,12411,12749,
Sun Jan 21 11:00:00 CST 2018,14738,15111,14470,14621,
Sun Jan 21 12:00:00 CST 2018,12545,12783,12254,12665,
Sun Jan 21 13:00:00 CST 2018,7952,8252,7767,7711,
Sun Jan 21 14:00:00 CST 2018,3762,3857,3723,3779,
Sun Jan 21 15:00:00 CST 2018,1768,1969,1874,1815,
Sun Jan 21 16:00:00 CST 2018,6460,6686,6363,6544,
Sun Jan 21 17:00:00 CST 2018,17457,18038,17464,17432,
Sun Jan 21 18:00:00 CST 2018,15161,15393,15134,14809,
Sun Jan 21 19:00:00 CST 2018,16929,17526,16624,17065,
Sun Jan 21 20:00:00 CST 2018,19657,20187,19360,19468,
Sun Jan 21 21:00:00 CST 2018,16649,16944,16477,16741,
Sun Jan 21 22:00:00 CST 2018,10462,10887,10473,10394,
Sun Jan 21 23:00:00 CST 2018,4776,5034,4931,4843,
Mon Jan 22 00:00:00 CST 2018,1664,1662,1581,1618,
Mon Jan 22 01:00:00 CST 2018,410,429,429,387,
Mon Jan 22 02:00:00 CST 2018,72,86,76,78,
Mon Jan 22 03:00:00 CST 2018,13,10,6,13,
Mon Jan 22 04:00:00 CST 2018,4,13,8,12,
Mon Jan 22 05:00:00 CST 2018,52,58,44,67,
Mon Jan 22 06:00:00 CST 2018,322,324,325,296,
Mon Jan 22 07:00:00 CST 2018,1245,1208,1222,1218,
Mon Jan 22 08:00:00 CST 2018,3497,3814,3738,3610,
Mon Jan 22 09:00:00 CST 2018,7731,8220,7825,7786,
Mon Jan 22 10:00:00 CST 2018,12544,12537,12388,12411,
Mon Jan 22 11:00:00 CST 2018,14429,14603,14321,14635,
Mon Jan 22 12:00:00 CST 2018,12275,12646,12403,12509,
Mon Jan 22 13:00:00 CST 2018,7919,7814,7803,7921,
Mon Jan 22 14:00:00 CST 2018,3644,3819,3626,3685,
Mon Jan 22 15:00:00 CST 2018,1873,2012,1825,1846,
Mon Jan 22 16:00:00 CST 2018,6412,6475,6481,6410,
Mon Jan 22 17:00:00 CST 2018,17245,17490,17120,17192,
Mon Jan 22 18:00:00 CST 2018,14908,15210,14780,15095,
Mon Jan 22 19:00:00 CST 2018,16959,17277,16559,16662,
Mon Jan 22 20:00:00 CST 2018,19049,19845,19195,19648,
Mon Jan 22 21:00:00 CST 2018,16412,16819,16630,16651,
Mon Jan 22 22:00:00 CST 2018,10620,10483,10383,10658,
Mon Jan 22 23:00:00 CST 2018,4942,4881,4772,4932,
Tue Jan 23 00:00:00 CST 2018,1678,1661,1656,1611,
Tue Jan 23 01:00:00 CST 2018,447,440,444,378,
Tue Jan 23 02:00:00 CST 2018,77,69,60,57,
Tue Jan 23 03:00:00 CST 2018,10,16,8,13,
Tue Jan 23 04:00:00 CST 2018,8,11,13,8,
Tue Jan 23 05:00:00 CST 2018,62,52,65,58,
Tue Jan 23 06:00:00 CST 2018,296,326,306,321,
Tue Jan 23 07:00:00 CST 2018,1181,1303,1194,1274,
Tue Jan 23 08:00:00 CST 2018,3739,3750,3672,3679,
Tue Jan 23 09:00:00 CST 2018,7808,8035,8008,7787,
Tue Jan 23 10:00:00 CST 2018,12415,12745,12805,12480,
Tue Jan 23 11:00:00 CST 2018,14535,14993,14700,14586,
Tue Jan 23 12:00:00 CST 2018,12249,12640,12658,12394,
Tue Jan 23 13:00:00 CST 2018,7838,8201,7876,7843,
Tue Jan 23 14:00:00 CST 2018,3727,3767,3752,3761,
Tue Jan 23 15:00:00 CST 2018,1879,1957,1974,1810,
Tue Jan 23 16:00:00 CST 2018,6532,6681,6482,6483,
Tue Jan 23 17:00:00 CST 2018,17313,17731,17485,17330,
Tue Jan 23 18:00:00 CST 2018,14904,15283,15038,14944,
Tue Jan 23 19:00:00 CST 2018,16750,17320,16837,16686,
Tue Jan 23 20:00:00 CST 2018,19308,19369,19472,19459,
Tue Jan 23 21:00:00 CST 2018,16525,17075,16849,16723,
Tue Jan 23 22:00:00 CST 2018,10486,10715,10595,10637,
Tue Jan 23 23:00:00 CST 2018,4867,5036,4839,4945,
Wed Jan 24 00:00:00 CST 2018,1619,1629,1635,1618,
Wed Jan 24 01:00:00 CST 2018,369,402,444,372,
Wed Jan 24 02:00:00 CST 2018,74,68,81,81,
Wed Jan 24 03:00:00 CST 2018,13,5,8,11,
Wed Jan 24 04:00:00 CST 2018,9,6,11,7,
Wed Jan 24 05:00:00 CST 2018,50,52,46,60,
Wed Jan 24 06:00:00 CST 2018,315,315,294,334,
Wed Jan 24 07:00:00 CST 2018,1219,1233,1161,1271,
Wed Jan 24 08:00:00 CST 2018,3531,3629,3713,3576,
Wed Jan 24 09:00:00 CST 2018,7725,7870,7879,7848,
Wed Jan 24 10:00:00 CST 2018,12333,12204,12531,12388,
Wed Jan 24 11:00:00 CST 2018,14347,14367,14491,14496,
Wed Jan 24 12:00:00 CST 2018,12304,12428,12327,12436,
Wed Jan 24 13:00:00 CST 2018,7699,7631,7874,7911,
Wed Jan 24 14:00:00 CST 2018,3690,3627,3727,3681,
Wed Jan 24 15:00:00 CST 2018,1865,1864,1878,1809,
Wed Jan 24 16:00:00 CST 2018,6461,6473,6379,6458,
Wed Jan 24 17:00:00 CST 2018,17267,17361,17302,17398,
Wed Jan 24 18:00:00 CST 2018,14657,14909,14930,15125,
Wed Jan 24 19:00:00 CST 2018,16700,16624,16799,16768,
Wed Jan 24 20:00:00 CST 2018,19130,19311,19568,19613,
Wed Jan 24 21:00:00 CST 2018,16358,16426,16573,16614,
Wed Jan 24 22:00:00 CST 2018,10284,10486,10536,10344,
Wed Jan 24 23:00:00 CST 2018,4747,4804,4754,4737,
Thu Jan 25 00:00:00 CST 2018,1671,1621,1579,1632,
Thu Jan 25 01:00:00 CST 2018,390,400,410,382,
Thu Jan 25 02:00:00 CST 2018,82,57,64,73,
Thu Jan 25 03:00:00 CST 2018,15,9,11,13,
Thu Jan 25 04:00:00 CST 2018,5,10,9,13,
Thu Jan 25 05:00:00 CST 2018,49,49,68,46,
Thu Jan 25 06:00:00 CST 2018,301,283,317,334,
Thu Jan 25 07:00:00 CST 2018,1278,1226,1234,1286,
Thu Jan 25 08:00:00 CST 2018,3563,3682,3638,3626,
Thu Jan 25 09:00:00 CST 2018,7853,7973,7832,7886,
Thu Jan 25 10:00:00 CST 2018,12347,12380,12186,12405,
Thu Jan 25 11:00:00 CST 2018,14385,14669,14488,14454,
Thu Jan 25 12:00:00 CST 2018,12281,12350,12396,12296,
Thu Jan 25 13:00:00 CST 2018,7821,7986,7600,7788,
Thu Jan 25 14:00:00 CST 2018,3824,3794,3593,3615,
Thu Jan 25 15:00:00 CST 2018,1801,1846,1805,1817,
Thu Jan 25 16:00:00 CST 2018,6442,6513,6381,6416,
Thu Jan 25 17:00:00 CST 2018,17092,17692,17018,17242,
Thu Jan 25 18:00:00 CST 2018,14844,15268,14456,14919,
Thu Jan 25 19:00:00 CST 2018,16492,16750,16560,16557,
Thu Jan 25 20:00:00 CST 2018,19053,19555,18962,19392,
Thu Jan 25 21:00:00 CST 2018,16437,17056,16371,16826,
Thu Jan 25 22:00:00 CST 2018,10206,10704,10294,10521,
Thu Jan 25 23:00:00 CST 2018,4843,4864,4813,4751,
Fri Jan 26 00:00:00 CST 2018,1670,1689,1614,1625,
Fri Jan 26 01:00:00 CST 2018,436,395,366,428,
Fri Jan 26 02:00:00 CST 2018,74,75,80,74,
Fri Jan 26 03:00:00 CST 2018,11,15,11,7,
Fri Jan 26 04:00:00 CST 2018,10,5,1,9,
Fri Jan 26 05:00:00 CST 2018,67,56,57,44,
Fri Jan 26 06:00:00 CST 2018,279,293,277,285,
Fri Jan 26 07:00:00 CST 2018,1249,1302,1236,1200,
Fri Jan 26 08:00:00 CST 2018,3689,3709,3513,3696,
Fri Jan 26 09:00:00 CST 2018,7977,8004,7766,7930,
Fri Jan 26 10:00:00 CST 2018,12569,12672,12103,12555,
Fri Jan 26 11:00:00 CST 2018,14919,14799,14433,14685,
Fri Jan 26 12:00:00 CST 2018,12749,12585,12288,12685,
Fri Jan 26 13:00:00 CST 2018,8072,8152,7572,7688,
Fri Jan 26 14:00:00 CST 2018,3765,3810,3719,3846,
Fri Jan 26 15:00:00 CST 2018,1823,1888,1758,1868,
Fri Jan 26 16:00:00 CST 2018,6536,6560,6319,6555,
Fri Jan 26 17:00:00 CST 2018,17549,17858,16941,17368,
Fri Jan 26 18:00:00 CST 2018,15155,15230,14729,15010,
Fri Jan 26 19:00:00 CST 2018,17295,16995,16536,17004,
Fri Jan 26 20:00:00 CST 2018,19517,19697,19191,19334,
Fri Jan 26 21:00:00 CST 2018,16725,16785,16320,16978,
Fri Jan 26 22:00:00 CST 2018,10643,10579,10349,10679,
Fri Jan 26 23:00:00 CST 2018,4819,4984,4731,4857,
Sat Jan 27 00:00:00 CST 2018,1688,1555,1673,1669,
Sat Jan 27 01:00:00 CST 2018,425,373,398,418,
Sat Jan 27 02:00:00 CST 2018,86,80,82,69,
Sat Jan 27 03:00:00 CST 2018,11,6,8,9,
Sat Jan 27 04:00:00 CST 2018,13,6,10,4,
Sat Jan 27 05:00:00 CST 2018,57,43,56,70,
Sat Jan 27 06:00:00 CST 2018,298,295,307,303,
Sat Jan 27 07:00:00 CST 2018,1229,1184,1289,1224,
Sat Jan 27 08:00:00 CST 2018,3670,3483,3625,3629,
Sat Jan 27 09:00:00 CST 2018,7792,7650,8128,8043,
Sat Jan 27 10:00:00 CST 2018,12409,12453,13020,12640,
Sat Jan 27 11:00:00 CST 2018,14587,14480,15208,14618,
Sat Jan 27 12:00:00 CST 2018,12665,12205,12629,12457,
Sat Jan 27 13:00:00 CST 2018,7829,7732,8198,7789,
Sat Jan 27 14:00:00 CST 2018,3800,3621,3742,3721,
Sat Jan 27 15:00:00 CST 2018,1757,1844,1899,1871,
Sat Jan 27 16:00:00 CST 2018,6391,6357,6549,6430,
Sat Jan 27 17:00:00 CST 2018,17518,17277,17916,17505,
Sat Jan 27 18:00:00 CST 2018,14980,14830,15383,14931,
Sat Jan 27 19:00:00 CST 2018,16828,16388,17346,16746,
Sat Jan 27 20:00:00 CST 2018,19598,18922,20085,19448,
Sat Jan 27 21:00:00 CST 2018,16679,16375,17178,16591,
Sat Jan 27 22:00:00 CST 2018,10467,10263,10691,10624,
Sat Jan 27 23:00:00 CST 2018,4890,4547,5177,4787,
Sun Jan 28 00:00:00 CST 2018,1738,1652,1675,1585,
Sun Jan 28 01:00:00 CST 2018,441,405,414,432,
Sun Jan 28 02:00:00 CST 2018,80,71,77,79,
Sun Jan 28 03:00:00 CST 2018,11,11,16,5,
Sun Jan 28 04:00:00 CST 2018,7,4,9,11,
Sun Jan 28 05:00:00 CST 2018,60,60,54,56,
Sun Jan 28 06:00:00 CST 2018,302,344,305,313,
Sun Jan 28 07:00:00 CST 2018,1264,1264,1268,1260,
Sun Jan 28 08:00:00 CST 2018,3658,3623,3794,3590,
Sun Jan 28 09:00:00 CST 2018,7963,8009,8010,7737,
Sun Jan 28 10:00:00 CST 2018,12715,12625,12912,12298,
Sun Jan 28 11:00:00 CST 2018,14898,14582,15150,14331,
Sun Jan 28 12:00:00 CST 2018,12716,12707,12949,12231,
Sun Jan 28 13:00:00 CST 2018,8021,7911,8291,7691,
Sun Jan 28 14:00:00 CST 2018,3696,3750,3811,3590,
Sun Jan 28 15:00:00 CST 2018,1857,1877,1908,1775,
Sun Jan 28 16:00:00 CST 2018,6693,6452,6669,6302,
Sun Jan 28 17:00:00 CST 2018,17730,17624,18012,17305,
Sun Jan 28 18:00:00 CST 2018,15202,15305,15346,14717,
Sun Jan 28 19:00:00 CST 2018,17025,17193,17458,16382,
Sun Jan 28 20:00:00 CST 2018,19977,19880,20032,19136,
Sun Jan 28 21:00:00 CST 2018,17110,16957,17135,16177,
Sun Jan 28 22:00:00 CST 2018,10606,10476,10842,10133,
Sun Jan 28 23:00:00 CST 2018,4953,4917,4994,4779,
Mon Jan 29 00:00:00 CST 2018,1625,1628,1626,1708,
Mon Jan 29 01:00:00 CST 2018,423,366,403,442,
Mon Jan 29 02:00:00 CST 2018,80,81,101,70,
Mon Jan 29 03:00:00 CST 2018,14,20,12,15,
Mon Jan 29 04:00:00 CST 2018,5,9,10,9,
Mon Jan 29 05:00:00 CST 2018,72,51,57,48,
Mon Jan 29 06:00:00 CST 2018,303,312,296,309,
Mon Jan 29 07:00:00 CST 2018,1210,1249,1253,1248,
Mon Jan 29 08:00:00 CST 2018,3598,3611,3791,3721,
Mon Jan 29 09:00:00 CST 2018,7869,7722,7975,8004,
Mon Jan 29 10:00:00 CST 2018,12224,12320,12608,12707,
Mon Jan 29 11:00:00 CST 2018,14293,14420,15019,14881,
Mon Jan 29 12:00:00 CST 2018,12277,12220,12839,12771,
Mon Jan 29 13:00:00 CST 2018,7652,7806,8095,7917,
Mon Jan 29 14:00:00 CST 2018,3663,3653,3693,3710,
Mon Jan 29 15:00:00 CST 2018,1848,1838,1931,1932,
Mon Jan 29 16:00:00 CST 2018,6513,6485,6496,6509,
Mon Jan 29 17:00:00 CST 2018,17253,17372,17621,17778,
Mon Jan 29 18:00:00 CST 2018,14956,15006,15381,15122,
Mon Jan 29 19:00:00 CST 2018,16804,16737,17279,17058,
Mon Jan 29 20:00:00 CST 2018,19265,19195,19798,19639,
Mon Jan 29 21:00:00 CST 2018,16582,16660,17094,16941,
Mon Jan 29 22:00:00 CST 2018,10350,10368,10678,10602,
Mon Jan 29 23:00:00 CST 2018,4936,4936,5006,4991,
Tue Jan 30 00:00:00 CST 2018,1652,1670,1616,1657,
Tue Jan 30 01:00:00 CST 2018,430,384,447,438,
Tue Jan 30 02:00:00 CST 2018,76,75,85,54,
Tue Jan 30 03:00:00 CST 2018,15,16,12,8,
Tue Jan 30 04:00:00 CST 2018,16,11,8,5,
Tue Jan 30 05:00:00 CST 2018,50,52,45,55,
Tue Jan 30 06:00:00 CST 2018,323,308,295,294,
Tue Jan 30 07:00:00 CST 2018,1286,1218,1215,1205,
Tue Jan 30 08:00:00 CST 2018,3535,3641,3735,3706,
Tue Jan 30 09:00:00 CST 2018,7819,8022,7952,8004,
Tue Jan 30 10:00:00 CST 2018,12541,12460,12568,12451,
Tue Jan 30 11:00:00 CST 2018,14599,14693,14589,14589,
Tue Jan 30 12:00:00 CST 2018,12506,12607,12583,12626,
Tue Jan 30 13:00:00 CST 2018,7802,7797,7929,8020,
Tue Jan 30 14:00:00 CST 2018,3697,3665,3620,3758,
Tue Jan 30 15:00:00 CST 2018,1816,1912,1874,1964,
Tue Jan 30 16:00:00 CST 2018,6546,6308,6390,6497,
Tue Jan 30 17:00:00 CST 2018,17073,17271,17323,17353,
Tue Jan 30 18:00:00 CST 2018,15058,15142,15056,15015,
Tue Jan 30 19:00:00 CST 2018,16740,16892,16829,17176,
Tue Jan 30 20:00:00 CST 2018,19302,19436,19348,19396,
Tue Jan 30 21:00:00 CST 2018,16588,16667,16662,16879,
Tue Jan 30 22:00:00 CST 2018,10599,10268,10533,10745,
Tue Jan 30 23:00:00 CST 2018,4960,4776,4801,4943,
Wed Jan 31 00:00:00 CST 2018,1655,1622,1612,1617,
Wed Jan 31 01:00:00 CST 2018,396,408,384,397,
Wed Jan 31 02:00:00 CST 2018,74,78,59,67,
Wed Jan 31 03:00:00 CST 2018,8,6,9,5,
Wed Jan 31 04:00:00 CST 2018,4,13,9,9,
Wed Jan 31 05:00:00 CST 2018,56,69,54,57,
Wed Jan 31 06:00:00 CST 2018,287,326,313,359,
Wed Jan 31 07:00:00 CST 2018,1156,1242,1238,1202,
Wed Jan 31 08:00:00 CST 2018,3467,3739,3816,3470,
Wed Jan 31 09:00:00 CST 2018,7553,7895,7978,7723,
Wed Jan 31 10:00:00 CST 2018,11988,12581,12544,12451,
Wed Jan 31 11:00:00 CST 2018,14105,14607,14661,14223,
Wed Jan 31 12:00:00 CST 2018,11822,12637,12492,12395,
Wed Jan 31 13:00:00 CST 2018,7662,7986,7895,7673,
Wed Jan 31 14:00:00 CST 2018,3553,3712,3683,3715,
Wed Jan 31 15:00:00 CST 2018,1796,1793,1940,1860,
Wed Jan 31 16:00:00 CST 2018,6173,6551,6428,6407,
Wed Jan 31 17:00:00 CST 2018,16582,17681,17531,17101,
Wed Jan 31 18:00:00 CST 2018,14427,15295,14898,14611,
Wed Jan 31 19:00:00 CST 2018,16016,17183,16896,16570,
Wed Jan 31 20:00:00 CST 2018,18775,19613,19545,19037,
Wed Jan 31 21:00:00 CST 2018,15908,17023,16701,16304,
Wed Jan 31 22:00:00 CST 2018,10120,10643,10368,10399,
Wed Jan 31 23:00:00 CST 2018,4685,4907,4859,4799,
