name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RMRB,0,0,0,0,0,29,17,31,4,9,31,6,9,10,26,8,4,24,10,19,15,8,29,0
XHS,0,0,0,0,0,29,3,29,17,13,16,16,16,9,10,10,14,17,10,21,14,19,22,0
YSXW,0,1,0,1,0,26,6,26,24,8,10,7,25,19,10,6,11,17,8,11,20,9,31,0
GQT,1,0,0,0,0,0,29,0,0,1,21,7,17,8,3,3,5,11,5,6,19,7,0,0
RMW,2,0,0,0,0,0,29,0,1,2,7,21,2,3,5,21,3,23,4,0,4,22,0,0
HQSB,2,1,0,0,0,0,0,1,26,2,2,21,5,5,12,6,7,9,16,4,1,17,9,2
SHFB,0,0,0,0,0,2,3,6,3,5,5,7,6,6,10,2,5,9,17,12,6,16,19,8
CKXX,0,0,0,0,0,0,2,26,1,0,5,15,9,3,4,22,0,11,18,0,1,27,1,0
LXH,0,0,0,0,0,0,0,0,0,19,0,0,1,6,8,13,1,0,0,8,9,7,5,0
SDDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,1,0
YSCJ,2,0,0,0,0,0,6,1,0,1,8,1,1,15,10,2,2,12,10,5,2,15,7,25
LT,0,0,0,0,0,0,0,0,4,6,2,0,0,0,20,6,1,0,0,6,22,1,0,0
TT,1,0,0,0,0,0,0,0,0,0,0,14,12,1,0,1,0,0,0,0,0,0,0,0
YT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
DXYS,0,0,0,0,0,0,0,0,0,10,0,0,30,1,0,0,0,7,1,1,1,28,0,0
ZGZF,0,0,0,0,0,0,0,9,14,6,5,6,4,9,8,7,4,3,2,4,11,8,7,3
XHW,1,0,0,0,1,0,16,13,0,0,6,14,8,4,11,15,3,9,12,10,3,17,6,0
FM93,0,0,0,0,0,0,0,2,28,0,0,1,26,3,0,0,3,11,15,1,0,0,0,0
XSAQ,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,15,3,0,0,0,0,0
ZYZF,1,0,0,0,0,1,28,2,2,2,3,4,9,9,6,2,3,6,5,7,6,7,8,10